Batch [488/500], Time 0.022054433822631836
Batch [489/500], Time 0.02967357635498047
Batch [490/500], Time 0.05302596092224121
Batch [491/500], Time 0.06006813049316406
Batch [492/500], Time 0.029544830322265625
Batch [493/500], Time 0.021985292434692383
Batch [494/500], Time 0.07221603393554688
Batch [495/500], Time 0.029086828231811523
Batch [496/500], Time 0.02168107032775879
Batch [497/500], Time 0.021656274795532227
Batch [498/500], Time 0.054297685623168945
Batch [499/500], Time 0.022278547286987305
